YEAR DAY H0 IMFFF BzEEE BzMMM Densi Speed Press	Kp SSN Dsttt
2018   1  0   8.2  -4.3  -5.1  13.8  381.  3.60 33   0    -5
2018   1  1  10.8  -7.3  -6.0  16.8  406.  4.94 33   0    -7
2018   1  2  10.0  -2.0   0.1  17.7  392.  4.85 33   0   -13
2018   1  3  10.9  -3.8  -2.0  22.4  396.  6.22 37   0   -10
2018   1  4  11.0   2.6   2.3  19.0  416.  5.97 37   0   -13
2018   1  5   8.3  -2.6  -2.4  10.1  441.  3.67 37   0   -18
2018   1  6   6.1   0.4   0.5   9.3  429.  3.28 23   0   -20
2018   1  7   6.8  -1.2  -1.2   9.0  436.  3.27 23   0   -20
2018   1  8   7.8   0.1  -0.2   7.8  446.  3.00 23   0   -17
2018   1  9   7.7   0.2  -0.2   7.6  437.  2.97 23   0   -18
2018   1 10   7.0  -0.2  -0.6   7.2  433.  2.78 23   0   -16
2018   1 11   6.2  -1.3  -1.8   6.3  429.  2.36 23   0   -12
2018   1 12   6.8  -1.7  -2.1   6.1  438.  2.28 27   0    -9
2018   1 13   6.6  -2.2  -2.6   5.8  439.  2.11 27   0    -9
2018   1 14   6.3  -0.1  -0.2   3.9  453.  1.52 27   0   -15
2018   1 15   5.5   0.4   0.4   3.4  467.  1.47 10   0   -17
2018   1 16   4.9   0.5   0.5   3.3  472.  1.48 10   0   -15
2018   1 17   4.8  -0.2  -0.2   3.6  472.  1.63 10   0   -13
2018   1 18   4.8  -0.2  -0.1   3.8  464.  1.68 10   0   -12
2018   1 19   4.9  -0.9  -0.4   3.9  460.  1.70 10   0    -9
2018   1 20   4.8  -0.7   0.2   4.0  454.  1.67 10   0    -9
2018   1 21   5.2  -2.7  -1.9   4.0  446.  1.61 13   0    -9
2018   1 22   5.1  -1.5  -0.6   4.4  434.  1.68 13   0    -9
2018   1 23   4.7  -1.5  -1.0   4.6  429.  1.70 13   0    -8
2018   2  0   4.4  -1.0  -0.2   5.0  431.  1.87 17   0    -7
2018   2  1   4.5  -0.8   0.1   6.2  420.  2.17 17   0    -5
2018   2  2   3.8  -1.3  -0.5   7.7  415.  2.62 17   0    -3
2018   2  3   3.9   2.0   2.4   8.2  413.  2.72  7   0    -5
2018   2  4   3.2   0.3   0.5   7.5  410.  2.43  7   0    -6
2018   2  5   2.0  -0.8  -0.7   6.5  414.  2.14  7   0    -8
2018   2  6   3.1  -1.2  -1.3   5.5  416.  1.82  3   0   -11
2018   2  7   3.1   0.9   1.0   5.4  412.  1.75  3   0   -12
2018   2  8   3.4   0.8   0.7   6.1  409.  1.94  3   0   -10
2018   2  9   3.9   0.7   0.7   6.6  407.  2.08  7   0    -9
2018   2 10   4.0   0.5   0.7   6.5  417.  2.17  7   0    -7
2018   2 11   4.2   0.8   0.8   6.5  430.  2.30  7   0    -7
2018   2 12   5.4   1.7   1.6   6.1  436.  2.25 17   0    -3
2018   2 13   4.4  -1.0  -1.1   7.4  418.  2.48 17   0    -2
2018   2 14   4.6  -0.5  -0.6   7.5  413.  2.46 17   0    -5
2018   2 15   4.0  -1.1  -1.1   7.5  414.  2.48 10   0    -6
2018   2 16   4.1  -0.3  -0.2   8.1  414.  2.63 10   0    -5
2018   2 17   4.5  -0.6  -0.3   7.8  410.  2.44 10   0    -7
2018   2 18   4.8  -1.1  -0.9   6.3  416.  2.04 20   0    -5
2018   2 19   4.6  -1.8  -1.5   7.1  411.  2.25 20   0    -2
2018   2 20   3.8  -1.8  -1.5   7.7  411.  2.42 20   0     0
2018   2 21   3.4  -1.1  -0.7   8.6  406.  2.59 10   0    -1
2018   2 22   3.5   0.9   1.6   7.8  398.  2.24 10   0     0
