YEAR DAY H0 IMFFF BzEEE BzMMM Densi Speed Press	Kp SSN Dsttt
2019   1  0   4.8   0.8   1.8   3.9  456.  1.46 10  12    -3
2019   1  1   4.5  -1.8  -0.8   3.9  460.  1.48 10  12    -5
2019   1  2   5.0   1.2   2.0   4.0  459.  1.52 10  12    -4
2019   1  3   5.6   1.9   2.7   4.5  453.  1.65 13  12    -2
2019   1  4   5.8  -0.6   0.1   5.2  446.  1.84 13  12     1
2019   1  5   5.8  -3.6  -3.2   4.6  438.  1.57 13  12    -3
2019   1  6   5.3  -3.4  -3.2   4.3  433.  1.44 27  12    -6
2019   1  7   5.0  -3.1  -3.1   4.3  430.  1.42 27  12   -12
2019   1  8   4.9  -3.3  -3.5   4.7  423.  1.49 27  12   -17
2019   1  9   4.7  -2.8  -3.0   4.7  430.  1.53 17  12   -18
2019   1 10   4.5  -0.6  -1.0   4.4  427.  1.43 17  12   -15
2019   1 11   3.9  -1.3  -1.5   4.2  424.  1.37 17  12    -9
2019   1 12   3.9  -1.3  -1.4   3.8  418.  1.21 20  12   -11
2019   1 13   3.8   0.3   0.3   3.1  404.  0.92 20  12   -13
2019   1 14   4.4   1.5   1.5   2.4  402.  0.69 20  12   -10
2019   1 15   4.4   1.2   1.2   2.8  395.  0.77  3  12   -11
2019   1 16   4.2   0.7   0.7   2.8  392.  0.76  3  12    -9
2019   1 17   4.1   1.0   1.1   2.6  385.  0.69  3  12    -7
2019   1 18   4.1   0.7   0.7   2.3  384.  0.60  0  12    -6
2019   1 19   3.8   0.6   0.5   2.0  386.  0.53  0  12    -8
2019   1 20   3.5  -0.3  -0.4   1.8  380.  0.47  0  12    -7
2019   1 21   3.4  -0.1  -0.2   2.0  379.  0.52  7  12    -8
2019   1 22   3.5  -0.5  -0.9   2.0  385.  0.53  7  12    -8
2019   1 23   3.8  -0.5  -0.6   2.3  377.  0.58  7  12    -9
2019   2  0   4.0  -0.7  -1.0   2.2  377.  0.55  0  15    -9
2019   2  1   3.9  -0.6  -0.9   2.0  375.  0.50  0  15   -10
2019   2  2   3.9  -0.2  -0.0   2.0  370.  0.49  0  15    -8
2019   2  3   3.9  -0.2   0.2   2.1  369.  0.51  0  15    -7
2019   2  4   4.1   0.5   0.7   2.2  366.  0.54  0  15    -6
2019   2  5   4.1   0.4   0.4   2.2  364.  0.54  0  15    -4
2019   2  6   4.0   0.8   0.9   1.9  365.  0.47  0  15    -2
2019   2  7   3.7   0.4   0.4   1.7  360.  0.40  0  15    -1
2019   2  8   3.4  -0.2  -0.2   1.7  355.  0.39  0  15    -1
2019   2  9   3.2  -0.8  -0.8   1.6  352.  0.37  0  15    -1
2019   2 10   3.2  -1.2  -1.1   1.8  353.  0.41  0  15     0
2019   2 11   3.0  -1.0  -1.1   1.9  346.  0.41  0  15    -2
2019   2 12   2.8  -0.9  -0.8   2.2  338.  0.46  3  15    -7
2019   2 13   2.9  -1.0  -1.0   2.0  337.  0.41  3  15   -11
2019   2 14   2.8  -0.7  -0.7   2.2  336.  0.45  3  15   -11
2019   2 15   2.1   0.3   0.3   3.7  343.  0.77  3  15   -10
2019   2 16   2.7  -0.7  -0.6   4.1  343.  0.85  3  15    -7
2019   2 17   2.5  -1.1  -1.0   3.9  343.  0.81  3  15    -6
2019   2 18   2.2  -0.6  -0.5   4.2  343.  0.87  0  15    -5
2019   2 19   2.6   0.2   0.4   4.5  353.  0.98  0  15    -1
2019   2 20   2.9   0.1   0.1   4.8  354.  1.05  0  15     0
2019   2 21   2.7  -0.6  -0.2   4.9  349.  1.04  0  15     1
2019   2 22   2.6  -1.7  -1.3   4.7  335.  0.93  0  15    -1
2019   2 23   2.2  -1.5  -1.0   4.9  334.  0.96  0  15    -2
2019   3  0   2.1  -1.4  -1.0   4.8  336.  0.94 10  15    -2
2019   3  1   2.3  -1.3  -0.9   4.7  337.  0.93 10  15    -3
2019   3  2   2.5  -1.1  -0.8   4.4  328.  0.83 10  15    -5
2019   3  3   2.5  -1.2  -1.0   4.1  313.  0.69  0  15    -7
2019   3  4   2.6  -1.4  -1.2   4.1  310.  0.68  0  15    -8
2019   3  5   2.5  -1.0  -0.7   4.0  308.  0.66  0  15    -8
2019   3  6   2.4  -1.0  -0.8   4.0  307.  0.65  0  15    -7
2019   3  7   2.5  -0.2  -0.1   3.8  306.  0.62  0  15    -6
2019   3  8   2.8  -1.9  -1.9   4.2  304.  0.67  0  15    -2
2019   3  9   2.5  -0.9  -1.0   3.8  304.  0.61  3  15     0
2019   3 10   2.7   0.2   0.0   4.8  311.  0.79  3  15     3
2019   3 11   3.2  -1.0  -1.3   4.9  308.  0.79  3  15     5
2019   3 12   2.8  -2.3  -2.4   5.7  308.  0.92  3  15     4
2019   3 13   2.5  -0.8  -1.0   6.2  307.  0.99  3  15     4
2019   3 14   2.7  -0.7  -0.8   6.5  309.  1.05  3  15     6
2019   3 15   2.7  -0.1  -0.2   6.5  309.  1.05  0  15     6
2019   3 16   2.5  -0.6  -0.5   6.7  301.  1.03  0  15     3
2019   3 17   2.4   0.4   0.5   7.2  303.  1.12  0  15     2
2019   3 18   2.9  -0.5  -0.2   6.8  303.  1.06  0  15     1
2019   3 19   4.2  -2.9  -2.6   5.1  300.  0.79  0  15     0
2019   3 20   4.1  -1.7  -1.1   4.4  293.  0.65  0  15    -1
2019   3 21   3.5   0.2   0.8   5.6  308.  0.92  3  15    -2
2019   3 22   3.6  -0.8   0.1   6.1  313.  1.02  3  15     2
2019   3 23   3.5  -1.0  -0.1   7.1  312.  1.18  3  15     6
2019   4  0   4.1  -2.2  -1.2   7.5  315.  1.27 13  13     8
2019   4  1   4.5  -2.2  -1.1   8.2  313.  1.37 13  13     6
2019   4  2   4.1   0.1   0.9   9.7  316.  1.65 13  13     5
2019   4  3   4.6  -2.4  -1.5   9.0  310.  1.47  3  13     2
2019   4  4   4.7  -1.9  -1.0   9.8  314.  1.65  3  13     0
2019   4  5   5.3   0.9   1.4  10.6  312.  1.75  3  13     1
2019   4  6   6.0  -1.5  -1.0  13.1  315.  2.19 10  13     7
2019   4  7   6.3  -3.8  -3.5  13.9  314.  2.31 10  13     8
2019   4  8   5.4  -4.4  -4.4  14.8  310.  2.40 10  13     8
2019   4  9   5.6  -4.3  -4.4  13.5  312.  2.22 17  13     2
2019   4 10   6.4   1.8   1.6  13.0  315.  2.22 17  13    -1
2019   4 11   7.1   0.3  -0.1  20.1  330.  3.76 17  13     9
2019   4 12   8.3  -3.1  -3.5  27.7  345.  5.70 20  13    15
2019   4 13   9.0   0.1  -0.4  24.0  343.  4.87 20  13    10
2019   4 14   8.6  -1.1  -1.4  24.0  337.  4.70 20  13     9
2019   4 15   8.0  -2.3  -2.4  27.4  335.  5.28 30  13    12
2019   4 16   8.4  -3.9  -3.8  35.7  344.  7.25 30  13    13
